display  I           wgl_disp.c:246  display_pixel_format             [   0.16237] Single-buffer: no
display  I           wgl_disp.c:248  display_pixel_format             [   0.16238] Swap method: copy
display  I           wgl_disp.c:251  display_pixel_format             [   0.16238] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:257  display_pixel_format             [   0.16239] Depth buffer: 24 bits
display  I           wgl_disp.c:258  display_pixel_format             [   0.16240] Sample buffers: no
display  I           wgl_disp.c:259  display_pixel_format             [   0.16241] Samples: 0
display  D   display_settings.c:191  debug_display_settings           [   0.16242] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16243] Score is : 1969
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.16243] -- 
display  I           wgl_disp.c:770  get_available_pixel_formats_ext  [   0.16244] Decoding visual no. 16...
display  I           wgl_disp.c:341  decode_pixel_format_attrib       [   0.16251] Decoding:
display  I           wgl_disp.c:245  display_pixel_format             [   0.16252] Accelarated: yes
display  I           wgl_disp.c:246  display_pixel_format             [   0.16253] Single-buffer: no
display  I           wgl_disp.c:248  display_pixel_format             [   0.16254] Swap method: copy
display  I           wgl_disp.c:251  display_pixel_format             [   0.16254] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:257  display_pixel_format             [   0.16255] Depth buffer: 24 bits
display  I           wgl_disp.c:258  display_pixel_format             [   0.16256] Sample buffers: no
display  I           wgl_disp.c:259  display_pixel_format             [   0.16257] Samples: 0
display  D   display_settings.c:191  debug_display_settings           [   0.16258] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16259] Score is : 1969
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.16260] -- 
display  I           wgl_disp.c:770  get_available_pixel_formats_ext  [   0.16260] Decoding visual no. 17...
display  I           wgl_disp.c:341  decode_pixel_format_attrib       [   0.16267] Decoding:
display  I           wgl_disp.c:245  display_pixel_format             [   0.16268] Accelarated: yes
display  I           wgl_disp.c:246  display_pixel_format             [   0.16269] Single-buffer: no
display  I           wgl_disp.c:248  display_pixel_format             [   0.16270] Swap method: copy
display  I           wgl_disp.c:251  display_pixel_format             [   0.16270] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:257  display_pixel_format             [   0.16271] Depth buffer: 0 bits
display  I           wgl_disp.c:258  display_pixel_format             [   0.16272] Sample buffers: no
display  I           wgl_disp.c:259  display_pixel_format             [   0.16273] Samples: 0
display  D   display_settings.c:191  debug_display_settings           [   0.16274] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16275] Score is : 1921
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.16275] -- 
display  I           wgl_disp.c:770  get_available_pixel_formats_ext  [   0.16276] Decoding visual no. 18...
